strain,date,url,mutational_fitness,S1_mutations,country,recency,pango_lineage,emerging_lineage,region,clade_membership,genbank_accession,current_frequency,division,epiweek,host,author,accession,submitting_lab,originating_lab,logistic_growth
USA/2106110309/2021,6/12/21,,0.48,9,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ799161,,New Hampshire,202123,Homo sapiens,Benton et al,,,,
USA/IN-CDC-ASC210038186/2021,5/1/21,,0.49,10,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ281871,,Indiana,202117,Homo sapiens,Howard et al W,,,,
VEN/Bol5332/2021,2/11/21,,0.49,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611959,,Venezuela,202106,Homo sapiens,Pujol et al E,,,,
VEN/DeA1365/2021,4/18/21,,0.5,11,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611967,,Venezuela,202115,Homo sapiens,Pujol et al F,,,,
VEN/Bol4715/2021,1/2/21,,0.52,11,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611956,,Venezuela,202053,Homo sapiens,Pujol et al G,,,,
VEN/Bol4717/2021,1/22/21,,0.52,11,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611958,,Venezuela,202103,Homo sapiens,Pujol et al H,,,,
VEN/Bol4720/2021,1/22/21,,0.52,11,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611957,,Venezuela,202103,Homo sapiens,Pujol et al I,,,,
VEN/Mir17/2021,3/20/21,,0.48,11,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611961,,Venezuela,202111,Homo sapiens,Pujol et al J,,,,
VEN/Mir761/2021,4/9/21,,0.49,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611966,,Venezuela,202114,Homo sapiens,Pujol et al K,,,,
VEN/Ama1935/2021,4/20/21,,0.51,11,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611968,,Venezuela,202116,Homo sapiens,Pujol et al L,,,,
VEN/Dtt54/2021,3/14/21,,0.51,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611964,,Venezuela,202110,Homo sapiens,Pujol et al M,,,,
VEN/Car8286/2021,5/6/21,,0.49,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611962,,Venezuela,202118,Homo sapiens,Pujol et al N,,,,
VEN/Ara6800/2021,5/11/21,,0.48,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611971,,Venezuela,202119,Homo sapiens,Pujol et al O,,,,
VEN/Dtt292/2021,5/27/21,,0.49,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611970,,Venezuela,202121,Homo sapiens,Pujol et al P,,,,
VEN/Mir6242/2021,5/25/21,,0.49,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611965,,Venezuela,202121,Homo sapiens,Pujol et al Q,,,,
VEN/Dtt17/2021,5/25/21,,0.49,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611960,,Venezuela,202121,Homo sapiens,Pujol et al R,,,,
USA/1715870/2021,6/2/21,,0.5,10,USA,Older,P.1,,North America,"20J (Gamma, V3)",ON186463,,Iowa,202122,Homo sapiens,Reeb et al A,,State Hygienic Laboratory at the University of Iowa,Test Iowa,
USA/IL-CDC-LC0072779/2021,6/12/21,,0.49,11,USA,Older,P.1,,North America,"20J (Gamma, V3)",OK232975,,Illinois,202123,Homo sapiens,Howard et al X,,,,
BRA/GO-DNAGYN-224/2021,5/1/21,,0.46,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",ON148318,,Goiás,202117,Homo sapiens,Sobreiro et al H,,,,
BRA/GO-DNAGYN-247/2021,1/24/21,,0.45,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",ON148329,,Goiás,202103,Homo sapiens,Sobreiro et al I,,,,
BRA/GO-DNAGYN-221/2021,4/11/21,,0.45,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",ON148315,,Goiás,202114,Homo sapiens,Sobreiro et al J,,,,
BRA/1236/2021,2/20/21,,0.47,10,Brazil,Older,P.1.14,,South America,"20J (Gamma, V3)",MZ169911,,Brazil,202107,Homo sapiens,Pylro et al I,,,,
PRY/WOR12903A876_202103456_202103456_2-4754134/2021,7/10/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017314,,Paraguay,202127,Homo sapiens,Vazquez et al BN,,,,
PRY/WOR12903A617_202103308_2-4710528/2021,5/4/21,,0.47,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017171,,Paraguay,202118,Homo sapiens,Vazquez et al BO,,,,
PRY/202102946_91552/2021,4/17/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017504,,Paraguay,202115,Homo sapiens,Vazquez et al BP,,,,
PRY/WOR12903A650_202103330_2-4710611/2021,5/14/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017212,,Paraguay,202119,Homo sapiens,Vazquez et al BQ,,,,
PRY/WOR12903A825_202103357_202103357_2-4740123/2021,6/6/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017266,,Paraguay,202122,Homo sapiens,Vazquez et al BR,,,,
PRY/202102953_91675/2021,4/17/21,,0.48,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017506,,Paraguay,202115,Homo sapiens,Vazquez et al BS,,,,
PRY/WOR12903A803_202103368_202103368_2-4740101/2021,6/9/21,,0.48,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017252,,Paraguay,202123,Homo sapiens,Vazquez et al BT,,,,
PRY/202102955_91854/2021,4/17/21,,0.48,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017507,,Paraguay,202115,Homo sapiens,Vazquez et al BU,,,,
PRY/WOR12903A641_202103313_2-4710602/2021,5/4/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017210,,Paraguay,202118,Homo sapiens,Vazquez et al BV,,,,
PRY/WOR12903A827_202103373_202103373_2-4740125/2021,6/11/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017292,,Paraguay,202123,Homo sapiens,Vazquez et al BW,,,,
PRY/WOR12903A878_202103448_202103448_2-4754136/2021,7/8/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017318,,Paraguay,202127,Homo sapiens,Vazquez et al BX,,,,
PRY/WOR12903A864_202103445_202103445_2-4754122/2021,7/9/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017313,,Paraguay,202127,Homo sapiens,Vazquez et al BY,,,,
PRY/WOR12903A872_202103444_202103444_2-4754130/2021,7/9/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017312,,Paraguay,202127,Homo sapiens,Vazquez et al BZ,,,,
PRY/WOR12903A634_202103338_2-4710545/2021,5/21/21,,0.48,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017200,,Paraguay,202120,Homo sapiens,Vazquez et al CA,,,,
PRY/202102942_91514/2021,4/17/21,,0.48,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017500,,Paraguay,202115,Homo sapiens,Vazquez et al CB,,,,
PRY/WOR12903A670_202103318_2-4710631/2021,5/7/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017204,,Paraguay,202118,Homo sapiens,Vazquez et al CC,,,,
PRY/WOR12903A603_202103344_2-4710514/2021,5/28/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017206,,Paraguay,202121,Homo sapiens,Vazquez et al CD,,,,
PRY/WOR12903A844_202103390_202103390_2-4740142/2021,6/19/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017275,,Paraguay,202124,Homo sapiens,Vazquez et al CE,,,,
PRY/202102943_91525/2021,4/14/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017501,,Paraguay,202115,Homo sapiens,Vazquez et al CF,,,,
PRY/WOR12903A817_202103401_202103401_2-4740115/2021,6/29/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017278,,Paraguay,202126,Homo sapiens,Vazquez et al CG,,,,
PRY/WOR12903A647_202103353_2-4710608/2021,6/2/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017201,,Paraguay,202122,Homo sapiens,Vazquez et al CH,,,,
PRY/WOR12903A812_202103428_202103428_2-4740110/2021,7/6/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017270,,Paraguay,202127,Homo sapiens,Vazquez et al CI,,,,
PRY/WOR12903A785_202103355_202103355_2-4740033/2021,6/3/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017249,,Paraguay,202122,Homo sapiens,Vazquez et al CJ,,,,
PRY/WOR12903A597_202103311_2-4710508/2021,5/5/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017234,,Paraguay,202118,Homo sapiens,Vazquez et al CK,,,,
PRY/WOR12903A820_202103369_202103369_2-4740118/2021,6/11/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017286,,Paraguay,202123,Homo sapiens,Vazquez et al CL,,,,
PRY/WOR12903A767_202103423_202103423_2-4740015/2021,7/5/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017296,,Paraguay,202127,Homo sapiens,Vazquez et al CM,,,,
PRY/WOR12903A621_202103328_2-4710532/2021,5/13/21,,0.57,12,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017197,,Paraguay,202119,Homo sapiens,Vazquez et al CN,,,,
PRY/202102969_94850/2021,4/21/21,,0.56,12,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017513,,Paraguay,202116,Homo sapiens,Vazquez et al CO,,,,
PRY/202102788_94871/2021,4/21/21,,0.56,12,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017385,,Paraguay,202116,Homo sapiens,Vazquez et al CP,,,,
PRY/202102971_94853/2021,4/21/21,,0.56,12,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017514,,Paraguay,202116,Homo sapiens,Vazquez et al CQ,,,,
PRY/WOR12903A631_202103341_2-4710542/2021,5/25/21,,0.51,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017190,,Paraguay,202121,Homo sapiens,Vazquez et al CR,,,,
PRY/202102799_631627/2021,2/1/21,,0.5,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017396,,Paraguay,202105,Homo sapiens,Vazquez et al CS,,,,
PRY/WOR12903A669_202103310_2-4710630/2021,5/5/21,,0.5,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017183,,Paraguay,202118,Homo sapiens,Vazquez et al CT,,,,
PRY/WOR12903A601_202103347_2-4710512/2021,6/1/21,,0.56,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017233,,Paraguay,202122,Homo sapiens,Vazquez et al CU,,,,
PER/AFI00996/2021,6/26/21,,0.59,12,Peru,Older,P.1.12,,South America,"20J (Gamma, V3)",OK252994,,Loreto,202125,Homo sapiens,Olortegui et al A,,,,
PRY/WOR12903A596_202103319_2-4710507/2021,5/8/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017186,,Paraguay,202118,Homo sapiens,Vazquez et al CV,,,,
PRY/WOR12903A633_202103343_2-4710544/2021,5/27/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017179,,Paraguay,202121,Homo sapiens,Vazquez et al CW,,,,
PRY/202102909_58641/2021,3/19/21,,0.52,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017479,,Paraguay,202111,Homo sapiens,Vazquez et al CX,,,,
PRY/WOR12903A613_202103332_2-4710524/2021,5/15/21,,0.53,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017189,,Paraguay,202119,Homo sapiens,Vazquez et al CY,,,,
PRY/202102944_91528/2021,4/17/21,,0.51,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017502,,Paraguay,202115,Homo sapiens,Vazquez et al CZ,,,,
PRY/WOR12903A646_202103329_2-4710607/2021,5/14/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017211,,Paraguay,202119,Homo sapiens,Vazquez et al DA,,,,
PRY/202102945_91551/2021,4/17/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017503,,Paraguay,202115,Homo sapiens,Vazquez et al DB,,,,
PRY/WOR12903A790_202103364_202103364_2-4740038/2021,6/9/21,,0.5,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017255,,Paraguay,202123,Homo sapiens,Vazquez et al DC,,,,
PRY/WOR12903A774_202103391_202103391_2-4740022/2021,6/20/21,,0.51,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017279,,Paraguay,202124,Homo sapiens,Vazquez et al DD,,,,
TWN/CGMH-CGU-56/2021,1/29/21,,0.49,11,Taiwan,Older,P.1,,Asia,"20J (Gamma, V3)",MZ277389,,Taiwan,202104,Homo sapiens,Tsao et al G,,,,
BRA/PR-HF106/2021,3/8/21,,0.48,11,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477748,,Paraná,202110,Homo sapiens,Oliveira et al F,,,,
BRA/PR-HF292/2021,4/10/21,,0.49,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477796,,Paraná,202114,Homo sapiens,Oliveira et al G,,,,
BRA/PR-HF354/2021,4/11/21,,0.53,11,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477847,,Paraná,202114,Homo sapiens,Oliveira et al H,,,,
USA/NJ-CDC-LC0057216/2021,5/10/21,,0.51,10,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ252651,,New Jersey,202119,Homo sapiens,Howard et al Y,,,,
PRY/WOR12903A833_202103421_202103421_2-4740131/2021,7/4/21,,0.51,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017253,,Paraguay,202126,Homo sapiens,Vazquez et al DE,,,,
PRY/WOR12903A823_202103441_202103441_2-4740121/2021,7/8/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017282,,Paraguay,202127,Homo sapiens,Vazquez et al DF,,,,
Brazil/BR-SP-UW21070588008/2021,7/6/21,,0.48,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",ON080880,,Brazil,202127,Homo sapiens,Roychoudhury et al E,,,,
USA/OH-CDC-LC0060760/2021,5/12/21,,0.51,10,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ307689,,Ohio,202119,Homo sapiens,Howard et al Z,,,,
USA/MI-CDC-ASC210107160/2021,6/3/21,,0.51,10,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ386538,,Michigan,202122,Homo sapiens,Howard et al AA,,,,
USA/KY-CDC-LC0051588/2021,4/24/21,,0.49,10,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ142222,,Kentucky,202116,Homo sapiens,Howard et al AB,,,,
USA/MA-CDC-STM-000072870/2021,5/11/21,,0.49,10,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ415555,,Massachusetts,202119,Homo sapiens,Howard et al AC,,,,
USA/MD-CDC-LC0070429/2021,6/2/21,,0.53,10,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ412185,,Maryland,202122,Homo sapiens,Howard et al AD,,,,
PER/un-CDC-4051693-001/2021,2/23/21,,0.49,10,Peru,Older,P.1,,South America,"20J (Gamma, V3)",MW938104,,Peru,202108,Homo sapiens,Li et al G,,,,
BRA/PR-HF305/2021,4/7/21,,0.48,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477804,,Paraná,202114,Homo sapiens,Oliveira et al I,,,,
BRA/1061/2021,2/8/21,,0.47,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ169910,,Brazil,202106,Homo sapiens,Pylro et al J,,,,
BRA/2438/2021,3/16/21,,0.5,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ397163,,Brazil,202111,Homo sapiens,Pylro et al K,,,,
PRY/WOR12903A804_202103376_202103376_2-4740102/2021,6/12/21,,0.51,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017261,,Paraguay,202123,Homo sapiens,Vazquez et al DG,,,,
BRA/PR-HF114/2021,3/7/21,,0.49,11,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477756,,Paraná,202109,Homo sapiens,Oliveira et al J,,,,
BRA/PR-HF133/2021,3/8/21,,0.48,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477770,,Paraná,202110,Homo sapiens,Oliveira et al K,,,,
PRY/202102940_62245/2021,3/21/21,,0.51,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017499,,Paraguay,202111,Homo sapiens,Vazquez et al DH,,,,
PRY/WOR12903A853_202103430_202103430_2-4740201/2021,7/7/21,,0.49,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017237,,Paraguay,202127,Homo sapiens,Vazquez et al DI,,,,
PER/AFI00513/2021,5/20/21,,0.55,12,Peru,Older,P.1.7.1,,South America,"20J (Gamma, V3)",OK252993,,Loreto,202120,Homo sapiens,Olortegui et al B,,,,
BRA/PR-HF112/2021,3/6/21,,0.49,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477754,,Paraná,202109,Homo sapiens,Oliveira et al L,,,,
USA/RI-CDC-ASC210042007/2021,4/3/21,,0.49,11,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ076046,,Rhode Island,202113,Homo sapiens,Howard et al AE,,,,
BRA/PR-HF344/2021,4/8/21,,0.49,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477838,,Paraná,202114,Homo sapiens,Oliveira et al M,,,,
BRA/PR-HF314/2021,4/10/21,,0.53,11,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477812,,Paraná,202114,Homo sapiens,Oliveira et al N,,,,
BRA/PR-HF323/2021,4/9/21,,0.49,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477820,,Paraná,202114,Homo sapiens,Oliveira et al O,,,,
BRA/PR-HF353/2021,4/12/21,,0.49,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477846,,Paraná,202115,Homo sapiens,Oliveira et al P,,,,
PRY/WOR12903A626_202103304_2-4710537/2021,5/1/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017208,,Paraguay,202117,Homo sapiens,Vazquez et al DJ,,,,
CHL/AR-UFRO-0007/2021,8/7/21,,0.56,10,Chile,Older,P.1,,South America,"20J (Gamma, V3)",OM146080,,Chile,202131,Homo sapiens,Leyton-Carcaman et al B,,,,
CHL/AR-UFRO-0018/2021,8/7/21,,0.54,11,Chile,Older,P.1,,South America,"20J (Gamma, V3)",OM146072,,Chile,202131,Homo sapiens,Leyton-Carcaman et al C,,,,
CHL/AR-UFRO-0019/2021,8/7/21,,0.51,11,Chile,Older,P.1,,South America,"20J (Gamma, V3)",OM146073,,Chile,202131,Homo sapiens,Leyton-Carcaman et al D,,,,
CHL/AR-UFRO-0008/2021,8/9/21,,0.51,11,Chile,Older,P.1,,South America,"20J (Gamma, V3)",OM146081,,Chile,202132,Homo sapiens,Leyton-Carcaman et al E,,,,
PRY/202102949_91566/2021,4/17/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017505,,Paraguay,202115,Homo sapiens,Vazquez et al DK,,,,
PRY/WOR12903A796_202103388_202103388_2-4740044/2021,6/17/21,,0.51,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017287,,Paraguay,202124,Homo sapiens,Vazquez et al DL,,,,
PRY/202102957_92045/2021,4/18/21,,0.49,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017508,,Paraguay,202115,Homo sapiens,Vazquez et al DM,,,,
PRY/WOR12903A806_202103437_202103437_2-4740104/2021,7/7/21,,0.51,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017254,,Paraguay,202127,Homo sapiens,Vazquez et al DN,,,,
PRY/202102937_62230/2021,3/22/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017496,,Paraguay,202112,Homo sapiens,Vazquez et al DO,,,,
PRY/202102889_54964/2021,3/14/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017464,,Paraguay,202110,Homo sapiens,Vazquez et al DP,,,,
PRY/WOR12903A815_202103385_202103385_2-4740113/2021,6/17/21,,0.53,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017264,,Paraguay,202124,Homo sapiens,Vazquez et al DQ,,,,
PRY/WOR12903A801_202103384_202103384_2-4740049/2021,6/17/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017267,,Paraguay,202124,Homo sapiens,Vazquez et al DR,,,,
PRY/202102935_61966/2021,3/21/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017495,,Paraguay,202111,Homo sapiens,Vazquez et al DS,,,,
PRY/WOR12903A857_202103447_202103447_2-4754115/2021,7/8/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017311,,Paraguay,202127,Homo sapiens,Vazquez et al DT,,,,
PRY/WOR12903A850_202103403_202103403_2-4740148/2021,7/1/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017294,,Paraguay,202126,Homo sapiens,Vazquez et al DU,,,,
PRY/WOR12903A676_202103322_2-4710637/2021,5/9/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017213,,Paraguay,202118,Homo sapiens,Vazquez et al DV,,,,
PRY/WOR12903A867_202103442_202103442_2-4754125/2021,7/8/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017317,,Paraguay,202127,Homo sapiens,Vazquez et al DW,,,,
PRY/WOR12903A832_202103397_202103397_2-4740130/2021,6/26/21,,0.5,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017289,,Paraguay,202125,Homo sapiens,Vazquez et al DX,,,,
PRY/WOR12903A795_202103380_202103380_2-4740043/2021,6/16/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017251,,Paraguay,202124,Homo sapiens,Vazquez et al DY,,,,
PRY/WOR12903A831_202103405_202103405_2-4740129/2021,7/2/21,,0.5,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017241,,Paraguay,202126,Homo sapiens,Vazquez et al DZ,,,,
BRA/PR-HF306/2021,4/12/21,,0.48,11,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477805,,Paraná,202115,Homo sapiens,Oliveira et al Q,,,,
PRY/WOR12903A648_202103345_2-4710609/2021,5/29/21,,0.48,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017226,,Paraguay,202121,Homo sapiens,Vazquez et al EA,,,,
BRA/PR-HF341/2021,4/11/21,,0.48,11,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477835,,Paraná,202114,Homo sapiens,Oliveira et al R,,,,
PRY/202102962_92075/2021,4/18/21,,0.48,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017509,,Paraguay,202115,Homo sapiens,Vazquez et al EB,,,,
PRY/WOR12903A769_202103375_202103375_2-4740017/2021,6/13/21,,0.48,11,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017238,,Paraguay,202123,Homo sapiens,Vazquez et al EC,,,,
VEN/Yar9463/2021,5/14/21,,0.48,10,Venezuela,Older,P.1,,South America,"20J (Gamma, V3)",MZ611972,,Venezuela,202119,Homo sapiens,Pujol et al S,,,,
USA/MI-CDC-ASC210110650/2021,6/22/21,,0.48,11,USA,Older,P.1,,North America,"20J (Gamma, V3)",MZ565717,,Michigan,202125,Homo sapiens,Howard et al AF,,,,
MEX/B.C.-NHRC-OID_843685/2021,5/4/21,,0.49,10,Mexico,Older,P.1,,North America,"20J (Gamma, V3)",MZ375856,,Baja California,202118,Homo sapiens,Pan et al,,,,
PER/AFI00052/2021,3/6/21,,0.49,10,Peru,Older,P.1.12,,South America,"20J (Gamma, V3)",OK594561,,Loreto,202109,Homo sapiens,Olortegui et al C,,The University of Arizona,AB PRISMA,
CHL/AR-UFRO-0010/2021,8/8/21,,0.46,10,Chile,Older,P.1,,South America,"20J (Gamma, V3)",OM146083,,Chile,202131,Homo sapiens,Leyton-Carcaman et al F,,,,
CHL/AR-UFRO-0009/2021,8/8/21,,0.46,10,Chile,Older,P.1,,South America,"20J (Gamma, V3)",OM146082,,Chile,202131,Homo sapiens,Leyton-Carcaman et al G,,,,
PRY/WOR12903A656_202103309_2-4710617/2021,5/5/21,,0.51,10,Paraguay,Older,P.1,,South America,"20J (Gamma, V3)",ON017194,,Paraguay,202118,Homo sapiens,Vazquez et al ED,,,,
BRA/3048/2021,3/31/21,,0.51,11,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ397164,,Brazil,202113,Homo sapiens,Pylro et al L,,,,
BRA/PR-HF362/2021,4/12/21,,0.49,10,Brazil,Older,P.1,,South America,"20J (Gamma, V3)",MZ477854,,Paraná,202115,Homo sapiens,Oliveira et al S,,,,
URY/374/2021,3/12/21,,0.49,10,Uruguay,Older,P.1,,South America,"20J (Gamma, V3)",MW988204,,Uruguay,202110,Homo sapiens,Panzera et al AH,,,,
NZL/21MV0468/2021,6/1/21,,0.49,10,New Zealand,Older,P.1,,Oceania,"20J (Gamma, V3)",OK433574,,New Zealand,202122,Homo sapiens,Ren et al BM,,Institute of Environmental Science and Research,LabPLUS,
ARG/210613-39/2021,6/8/21,,0.48,10,Argentina,Older,P.1.15,,South America,"20J (Gamma, V3)",OL989084,,Argentina,202123,Homo sapiens,Zhao et al D,,,,
CHL/AR-UFRO-0001/2021,8/6/21,,0.49,10,Chile,Older,P.1.15,,South America,"20J (Gamma, V3)",OM146074,,Chile,202131,Homo sapiens,Leyton-Carcaman et al H,,,,
CHL/AR-UFRO-0004/2021,8/8/21,,0.48,10,Chile,Older,P.1.15,,South America,"20J (Gamma, V3)",OM146077,,Chile,202131,Homo sapiens,Leyton-Carcaman et al I,,,,
CHL/AR-UFRO-0003/2021,8/6/21,,0.49,11,Chile,Older,P.1.15,,South America,"20J (Gamma, V3)",OM146076,,Chile,202131,Homo sapiens,Leyton-Carcaman et al J,,,,
CHL/AR-UFRO-0015/2021,8/8/21,,0.49,11,Chile,Older,P.1.15,,South America,"20J (Gamma, V3)",OM146069,,Chile,202131,Homo sapiens,Leyton-Carcaman et al K,,,,
CHL/AR-UFRO-0017/2021,8/9/21,,0.51,10,Chile,Older,P.1.15,,South America,"20J (Gamma, V3)",OM146071,,Chile,202132,Homo sapiens,Leyton-Carcaman et al L,,,,
ARG/210711-54/2021,7/6/21,,0.49,10,Argentina,Older,P.1.15,,South America,"20J (Gamma, V3)",OL989098,,Argentina,202127,Homo sapiens,Zhao et al E,,,,
CHL/AR-UFRO-0014/2021,8/7/21,,0.46,10,Chile,Older,P.1.15,,South America,"20J (Gamma, V3)",OM146068,,Chile,202131,Homo sapiens,Leyton-Carcaman et al M,,,,
